Type,Menu,Menu group,Subgroup,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Qty sold
menuItem,INDOOR DRINKS,Mezcal,,Rey Campero Madre Cuishe,,,Liquor,1
menuItem,INDOOR DRINKS,Mezcal,,Siete Misterios,,,Liquor,1
menuItem,INDOOR DRINKS,Mezcal,,Sotol Blanco,,,Liquor,2
menuItem,INDOOR DRINKS,Mezcal,,Sotol Reposado,,,Liquor,1
menuItem,INDOOR DRINKS,Mezcal,,Union El Viejo,,,Liquor,2
menuItem,INDOOR DRINKS,Mezcal,,Vago Elote,,,Liquor,1
menuItem,INDOOR DRINKS,Mezcal,,Vago Ensamble en Barro,,,Liquor,1
menuItem,INDOOR DRINKS,Mezcal,,Wahaka Ensamble,,,Liquor,1
menuItem,INDOOR DRINKS,Mezcal,,Yuu Baal Espadin Joven,,,Liquor,1
menuItem,INDOOR DRINKS,Mezcal,,Bozal Ensamble,,,Liquor,3
menuItem,INDOOR DRINKS,Mezcal,,Bozal Tepeztate,,,Liquor,2
,INDOOR DRINKS,Flights,,,,,,65
menuItem,INDOOR DRINKS,Flights,,La Altena Distillery Highland Flight,,,Liquor,7
menuItem,INDOOR DRINKS,Flights,,Producciónchiquito Flight,,,Liquor,23
menuItem,INDOOR DRINKS,Flights,,Maguey Espadin Flight,,,Liquor,20
menuItem,INDOOR DRINKS,Flights,,Pa'El Viajero Flight,,,Liquor,15
,INDOOR DRINKS,NA Beverages,,,,,,741
menuItem,INDOOR DRINKS,NA Beverages,,Agua Fresca Hibiscus Limeade,,,NA Beverage,165
menuItem,INDOOR DRINKS,NA Beverages,,Agua Fresca Horchata,,,NA Beverage,146
menuItem,INDOOR DRINKS,NA Beverages,,Agua Fresca Orange Pineapple Ginger,,,NA Beverage,44
menuItem,INDOOR DRINKS,NA Beverages,,Agua Fresca Watermelon mint,,,NA Beverage,83
menuItem,INDOOR DRINKS,NA Beverages,,Limeade,,,NA Beverage,3
menuItem,INDOOR DRINKS,NA Beverages,,Diet Coke,,,NA Beverage,95
menuItem,INDOOR DRINKS,NA Beverages,,Coke,,,NA Beverage,46
menuItem,INDOOR DRINKS,NA Beverages,,Club Soda,,,NA Beverage,10
menuItem,INDOOR DRINKS,NA Beverages,,Q Ginger Beer,,,NA Beverage,5
menuItem,INDOOR DRINKS,NA Beverages,,Virgin Mojito,,,NA Beverage,5
menuItem,INDOOR DRINKS,NA Beverages,,Virgin Margarita,,,NA Beverage,21
menuItem,INDOOR DRINKS,NA Beverages,,Proyecto Diaz Coffee,,,NA Beverage,77
menuItem,INDOOR DRINKS,NA Beverages,,Teance Hot Tea,,,NA Beverage,41
,INDOOR DRINKS,Draft Beer,,,,,,734
menuItem,INDOOR DRINKS,Draft Beer,,Fieldwork IPA 10oz,,,Beer,24
menuItem,INDOOR DRINKS,Draft Beer,,Fieldwork IPA 16oz,,,Beer,192
menuItem,INDOOR DRINKS,Draft Beer,,Dad Pants Pilsner 10oz.,,,Beer,46
menuItem,INDOOR DRINKS,Draft Beer,,Dad Pants Pilsner 16oz.,,,Beer,120
menuItem,INDOOR DRINKS,Draft Beer,,Coal Shed Stout 10oz,,,Beer,13
menuItem,INDOOR DRINKS,Draft Beer,,Coal Shed Stout 16oz,,,Beer,24
menuItem,INDOOR DRINKS,Draft Beer,,Blossom Bliss Hazy 10oz,,,Beer,5
menuItem,INDOOR DRINKS,Draft Beer,,Blossom Bliss Hazy 16oz,,,Beer,17
menuItem,INDOOR DRINKS,Draft Beer,,The 21ers Black Lager 16oz,,,Beer,1
menuItem,INDOOR DRINKS,Draft Beer,,Low Motion 10oz,,,Beer,1
menuItem,INDOOR DRINKS,Draft Beer,,Low Motion 16oz,,,Beer,9
menuItem,INDOOR DRINKS,Draft Beer,,Socks & Sandals Hazy IPA 10oz,,,Beer,7
menuItem,INDOOR DRINKS,Draft Beer,,Socks & Sandals Hazy IPA 16oz,,,Beer,89
menuItem,INDOOR DRINKS,Draft Beer,,Morena Mia Lager 10oz,,,Beer,23
menuItem,INDOOR DRINKS,Draft Beer,,Morena Mia Lager 16oz,,,Beer,77
menuItem,INDOOR DRINKS,Draft Beer,,Fathers American Lager 10oz,,,Beer,16
menuItem,INDOOR DRINKS,Draft Beer,,Fathers American Lager 16oz,,,Beer,32
menuItem,INDOOR DRINKS,Draft Beer,,Kookslayer Amber ale 10oz,,,Beer,3
menuItem,INDOOR DRINKS,Draft Beer,,Kookslayer Amber ale 16oz,,,Beer,2
menuItem,INDOOR DRINKS,Draft Beer,,Euphoria Hazy Pale Ale 10oz,,,Beer,11
menuItem,INDOOR DRINKS,Draft Beer,,Euphoria Hazy Pale Ale 16oz,,,Beer,19
menuItem,INDOOR DRINKS,Draft Beer,,Blossom Bliss 16oz,,,Beer,3
,INDOOR DRINKS,Bottled Beer,,,,,,116
menuItem,INDOOR DRINKS,Bottled Beer,,Modelo,,,Beer,55
menuItem,INDOOR DRINKS,Bottled Beer,,Fieldwork N/A,,,Beer,45
menuItem,INDOOR DRINKS,Bottled Beer,,Bohemia,,,Beer,13
menuItem,INDOOR DRINKS,Bottled Beer,,Fieldwork Can,,,Beer,3
,INDOOR DRINKS,Wine Glass,,,,,,444
menuItem,INDOOR DRINKS,Wine Glass,,Gls Prosecco,,,Wine,10
menuItem,INDOOR DRINKS,Wine Glass,,Gls Jane Ventura Cava,,,Wine,19
menuItem,INDOOR DRINKS,Wine Glass,,Gls Haut Bourg Rose,,,Wine,23.5
menuItem,INDOOR DRINKS,Wine Glass,,Gls Ariddu Grillo,,,Wine,40
